Country,LAType,LAName,TotalNumberOfEstablishments(IncludingNotYetRatedAndOutside)(1),NumberOfEstablishmentsNotYetRatedForIntervention(1),NumberOfEstablishmentsOutsideProgramme(1),Total%OfInterventionsAchieved(PremisesRatedA-C),Total%OfInterventionsAchieved-PremisesRatedA,Total%OfInterventionsAchieved-PremisesRatedB,Total%OfInterventionsAchieved-PremisesRatedC,Total%OfInterventionsAchieved-PremisesNotYetRated,TotalNumberOfEstablishmentsSubjectToFormalEnforcementActions-Seizure|DetentionAndSurrenderOfFood,TotalNumberOfEstablishmentsSubjectToFormalEnforcementActions-SimpleCautions,TotalNumberOfEstablishmentsSubjectToFormalEnforcementActions-ImprovementNotices,TotalNumberOfEstablishmentsSubjectToWrittenWarnings,TotalNumberOfEstablishmentsSubjectToFormalEnforcementActions-ProsecutionsConcluded,ProfessionalFullTimeEquivalentPosts-Occupied*
England,Metropolitan Borough Council,Sefton,,,,81.47,100,68.5,95.08,100,0,0,0,121,1,1.5
England,Metropolitan Borough Council,Sheffield,,,,13.97,23.91,15.45,12.51,25.85,0,0,0,7,1,2
England,Metropolitan Borough Council,Solihull,,,,66.59,50,52.78,71.01,69.91,0,0,0,6,0,1.1
England,Metropolitan Borough Council,South Tyneside,,,,32.54,NR,47.33,24.7,100,0,0,0,42,0,1
England,Metropolitan Borough Council,St Helens Council,,,,100,100,100,100,NR,0,0,0,0,0,0.45
England,Metropolitan Borough Council,Stockport,,,,2.38,93.55,0,0,0.99,0,0,0,13,0,0.8
England,Metropolitan Borough Council,Sunderland,,,,92.94,100,83.59,96.45,83.27,0,0,0,106,0,1
England,Metropolitan Borough Council,Tameside,,,,89.27,96.3,91.86,70.59,100,2,0,0,8,0,2.5
England,Metropolitan Borough Council,Trafford,,,,80.49,100,74.4,94.57,100,0,0,0,280,1,1
England,Metropolitan Borough Council,Wakefield (6),,,,,,,,,,,,,,
England,Metropolitan Borough Council,Walsall,,,,12.51,34.48,13.45,1.67,0,0,3,0,28,0,2
England,Metropolitan Borough Council,West Yorkshire (8),,,,100,100,100,100,100,0,1,0,50,8,3.6
England,Metropolitan Borough Council,Wigan,,,,100,100,100,100,100,1,1,0,159,0,1
England,Metropolitan Borough Council,Wirral,,,,15.37,95.83,12.89,27.59,100,0,0,0,105,0,1.1
England,Metropolitan Borough Council,Wolverhampton,,,,40.19,83.33,30.08,44.56,36.16,0,0,0,98,0,1.3
England,Unitary Authority,Bath and North East Somerset,,,,74.33,62.5,67.98,81.82,0,0,0,0,311,0,1
England,Unitary Authority,Bedford,,,,73.16,100,66.49,75.76,71.68,0,0,0,10,0,0.7
England,Unitary Authority,Blackburn,,,,99.7,91.67,100,99.81,74.82,0,0,0,0,0,0.1
England,Unitary Authority,Blackpool,,,,27.32,32.35,12.62,32.67,100,0,0,0,21,0,0.3
England,Unitary Authority,Bournemouth,,,,92.75,100,95.05,87.91,100,0,0,0,0,0,1
England,Unitary Authority,Bracknell Forest,,,,48.26,100,89.91,15.17,100,0,0,0,56,0,1
England,Unitary Authority,Brighton and Hove,,,,88.46,96.13,86.4,86.55,100,0,3,129,23,0,1.6
England,Unitary Authority,Bristol,,,,2.54,64.71,3.52,0.38,66.67,0,0,0,1,0,2.6
England,Unitary Authority,Central Bedfordshire,,,,52.39,63.64,45.92,77.27,54.26,0,0,0,0,1,2
England,Unitary Authority,Cheshire East,,,,11.07,59.6,10.73,5.56,0.99,0,1,0,41,0,1
England,Unitary Authority,Cheshire West and Chester,,,,33.65,88,12.5,37.21,72.65,0,0,0,248,0,0.9
England,Unitary Authority,Cornwall,,,,54.49,98.55,47.75,89.09,41.27,0,2,0,123,0,3.55
England,Unitary Authority,Darlington,,,,75.34,NR,78.57,74.58,100,0,0,0,30,0,0.65
England,Unitary Authority,Derby City,,,,45.06,100,81.54,33.97,66.81,0,0,0,4,0,2
England,Unitary Authority,Durham,,,,77.27,100,74.36,79.2,72.14,0,0,0,437,0,3.05
England,Unitary Authority,East Riding of Yorkshire,,,,29.69,100,31.69,25.25,14.23,0,0,2,176,0,2.32
England,Unitary Authority,Halton,,,,2.97,100,6.82,0.74,3.11,0,0,0,8,0,0.5
England,Unitary Authority,Hartlepool (5),,,,100,100,100,100,100,0,0,0,53,0,0
England,Unitary Authority,Herefordshire,,,,16.51,NR,56.25,10.94,5.56,0,0,0,25,0,2
England,Unitary Authority,Hull City,,,,85.18,50,83.33,100,82.14,0,0,17,138,0,3.5
England,Unitary Authority,Isle of Wight (10),,,,55.95,33.33,49.25,57.64,100,0,0,0,62,0,0.5
England,Unitary Authority,Isles of Scilly,,,,38.57,75,32,25,NR,0,0,0,20,0,0.5
England,Unitary Authority,Leicester City,,,,79.15,53.33,81.98,78.92,100,1,0,0,468,0,0.9
England,Unitary Authority,Luton,,,,6.7,0,11.89,3.51,34.2,0,0,0,63,0,0.5
England,Unitary Authority,Medway,,,,30.58,100,100,14.41,0,0,0,2,12,0,1.2
England,Unitary Authority,Middlesbrough,,,,7.79,50,12.95,5.48,51.97,0,0,0,25,0,1
England,Unitary Authority,Milton Keynes,,,,24.67,100,62.23,13.77,56.77,0,0,6,92,0,0.8
England,Unitary Authority,North East Lincolnshire,,,,69.87,100,88.51,57.97,100,0,0,0,173,2,1
England,Unitary Authority,North Lincolnshire,,,,30.44,100,38.07,16.84,100,0,0,0,177,0,1
England,Unitary Authority,North Somerset,,,,100,100,100,100,75,0,0,0,1,0,0.5
England,Unitary Authority,Northumberland,,,,96.95,100,95.29,100,72.52,0,0,0,287,0,2
England,Unitary Authority,Nottingham City,,,,47.42,66.67,59.91,44.5,63.02,1,0,1,263,0,2
England,Unitary Authority,Peterborough City,,,,15.63,71.43,23.97,9.76,25,0,0,0,3,0,0.6
England,Unitary Authority,Plymouth City,,,,92.38,100,89.16,93.5,95.14,0,0,1,204,0,0.75
England,Unitary Authority,Poole,,,,12.92,96,10.81,4.08,44.44,0,0,0,11,0,2.4
England,Unitary Authority,Portsmouth,,,,94.76,100,86.15,96.99,100,0,0,0,65,0,3.5
England,Unitary Authority,Reading,,,,24.59,100,47.46,12.3,17.83,0,0,2,30,0,0.06
England,Unitary Authority,Redcar and Cleveland,,,,93.31,66.67,89.29,95,85.93,0,0,0,31,0,0.8
England,Unitary Authority,Rutland,,,,100,NR,100,100,100,0,0,0,0,0,1
England,Unitary Authority,Shropshire,,,,42.42,NR,34.48,100,100,1,0,5,537,0,1.4
England,Unitary Authority,Slough,,,,89.27,88.89,89.47,89.04,100,0,0,4,53,0,1
England,Unitary Authority,South Gloucestershire,,,,49.85,100,73.85,46.52,52.41,0,0,0,0,0,0.3
England,Unitary Authority,Southampton,,,,69.14,60,77,64.77,NR,0,3,0,163,0,1.5
England,Unitary Authority,Southend-On-Sea,,,,64.69,100,66.96,64.09,82.89,0,0,0,147,0,1.05
England,Unitary Authority,Stockton on Tees,,,,73.74,NR,81.67,53.98,100,1,0,0,95,0,1
England,Unitary Authority,Stoke-On-Trent,,,,44.44,77.27,52.71,28.24,38.27,0,0,2,120,0,3.6
England,Unitary Authority,Swindon,,,,76.74,71.43,73.33,84.17,100,0,0,17,191,1,1.5
England,Unitary Authority,Telford and Wrekin,,,,48.7,50,50.71,47.9,100,0,0,0,117,0,0.75
England,Unitary Authority,Thurrock,,,,85.71,63.64,71.11,89.86,100,0,0,1,290,0,1
England,Unitary Authority,Torbay (6),,,,,,,,,,,,,,
England,Unitary Authority,Warrington,,,,16.63,100,14.94,18.34,71.54,2,0,5,25,1,1.2
England,Unitary Authority,West Berkshire,,,,34.68,91.67,98.21,3.23,4.53,0,0,0,50,0,1.2
England,Unitary Authority,Wiltshire,,,,9.98,73.33,8.95,41.18,77.82,0,0,0,264,0,1.4
England,Unitary Authority,Windsor and Maidenhead,,,,1.54,NR,0.3,1.9,NR,0,0,0,0,0,0.5
England,Unitary Authority,Wokingham,,,,44.12,100,97.09,4.49,29.51,0,1,0,44,0,1.2
England,Unitary Authority,York,,,,1.4,50,2.21,0.4,0.47,0,0,0,2,0,0.25
Northern Ireland,NI Unitary Authority,Antrim and Newtownabbey,,,,96.92,100,96.95,96.89,97.08,0,0,0,139,0,3
Northern Ireland,NI Unitary Authority,Ards and North Down,,,,47.32,96.43,52.8,43.84,77.78,0,0,0,288,0,3
Northern Ireland,NI Unitary Authority,Armagh City| Banbridge and Craigavon,,,,82.45,96.43,96.8,74.74,89.6,0,0,0,176,0,1
Northern Ireland,NI Unitary Authority,Belfast City,,,,97.9,100,98.55,97.79,96.77,0,1,0,474,2,8
Northern Ireland,NI Unitary Authority,Causeway Coast and Glens,,,,80.56,88.89,62.18,89.15,77.17,0,1,0,99,0,2.44
Northern Ireland,NI Unitary Authority,Derry City and Strabane,,,,92.7,92.86,97.25,91.79,93.75,0,0,0,249,0,2.7
Northern Ireland,NI Unitary Authority,Fermanagh and Omagh,,,,92.53,100,97.04,89.31,97.69,0,0,0,195,0,1.3
Northern Ireland,NI Unitary Authority,Lisburn and Castlereagh City,,,,91.25,100,100,86.45,100,0,0,0,209,0,1.7
Northern Ireland,NI Unitary Authority,Mid and East Antrim,,,,93.23,100,92.92,93.24,92.05,0,0,0,117,0,2.1
Northern Ireland,NI Unitary Authority,Mid Ulster,,,,85.93,92.31,91.95,82.51,98.16,2,0,0,230,0,5.9
Northern Ireland,NI Unitary Authority,Newry| Mourne and Down,,,,89.25,96.92,92.86,86.19,84.78,0,0,0,104,0,4.25
Wales,Welsh Unitary Authority ,Anglesey,,,,47.46,96.15,39.24,56.94,32.62,0,0,0,32,0,0.6
Wales,Welsh Unitary Authority ,Blaenau Gwent,,,,78.4,100,89.63,48.28,94.59,0,0,0,89,0,0.68
Wales,Welsh Unitary Authority ,Bridgend (2),,,,39.13,100,41.67,22.22,93.02,0,0,0,7,0,2.5
Wales,Welsh Unitary Authority ,Caerphilly,,,,97.68,100,98.6,95.6,82.11,0,0,0,270,2,3.3
Wales,Welsh Unitary Authority ,Cardiff (2),,,,92.47,97.44,93.83,80.77,83.3,0,0,0,59,1,6.3
Wales,Welsh Unitary Authority ,Carmarthenshire,,,,100,100,100,100,100,1,4,1,8,0,4
Wales,Welsh Unitary Authority ,Ceredigion,,,,77.83,83.33,91.91,37.61,86.4,0,1,0,1,1,0.7
Wales,Welsh Unitary Authority ,Conwy,,,,94.44,100,95.72,91.73,96.21,0,2,0,158,1,1.5
Wales,Welsh Unitary Authority ,Denbighshire,,,,96.7,100,94.74,100,92.81,0,0,0,22,0,1
Wales,Welsh Unitary Authority ,Flintshire,,,,100,100,100,100,91.35,0,0,0,122,0,3
Wales,Welsh Unitary Authority ,Gwynedd,,,,66.5,100,72.54,59.47,80.07,0,0,2,405,0,5.9
Wales,Welsh Unitary Authority ,Merthyr Tydfil,,,,100,NR,100,100,100,0,1,0,122,0,0.54
Wales,Welsh Unitary Authority ,Monmouthshire,,,,94.57,100,99.18,91.28,100,0,0,9,222,0,1
Wales,Welsh Unitary Authority ,Neath Port Talbot,,,,86.23,100,89.19,83.99,93.08,1,0,0,76,1,1.9
Wales,Welsh Unitary Authority ,Newport,,,,66.07,100,71.43,62.07,100,0,0,0,7,0,1.5
Wales,Welsh Unitary Authority ,Pembrokeshire,,,,98.23,100,93.91,100,88.82,0,0,1,222,0,4.3
Wales,Welsh Unitary Authority ,Powys,,,,27.31,95.92,32.79,11.37,100,0,0,0,88,0,3
Wales,Welsh Unitary Authority ,Rhondda Cynon Taf,,,,84.96,100,83.38,87.36,91.84,0,0,0,296,1,6.5
Wales,Welsh Unitary Authority ,Swansea,,,,68.26,100,91.73,34.9,5.05,0,0,0,106,1,3.5
Wales,Welsh Unitary Authority ,Torfaen,,,,71.43,100,84.91,57.89,80.85,2,0,0,97,1,2
Wales,Welsh Unitary Authority ,Vale of Glamorgan,,,,98.68,NR,98.25,98.95,95.94,0,0,0,9,0,1.5
Wales,Welsh Unitary Authority ,Wrexham,,,,73.77,100,61.02,99.17,68.98,0,0,2,5,0,2
